,Input,PID
0,-3.0,-1.6401205722540815
1,-3.0,-2.818892112103956
2,-3.0,-1.8372634834043728
3,-3.0,-1.4507035646573678
4,-3.0,-2.978882512385536
5,-3.0,-1.9421556332110097
6,-3.0,-1.2298088290016362
7,-3.0,-1.5602861296526886
8,-3.0,-2.552134506623201
9,-3.0,-2.278117649461068
10,-3.0,-1.7625692708618388
11,-3.0,-2.0145331616395064
12,-3.0,-2.198077464725372
13,-3.0,-2.062604421018588
14,-3.0,-3.1120122112840782
15,0.0,-1.2126536577979892
16,0.0,-1.4195791723232023
17,0.0,-0.043934515272141726
18,0.0,0.7781159786415226
19,0.0,2.1785018521650334
20,0.0,1.7516852698711116
21,0.0,1.2614245544147733
22,0.0,0.4211672675908306
23,0.0,0.3380258374579138
24,0.0,0.16491281226318633
25,0.0,-1.563786466974938
26,0.0,-1.046135287323726
27,0.0,-0.33710812859221406
28,0.0,-1.3798192693303792
29,0.0,-1.6606466019908512
30,0.0,-0.796225011866354
31,0.0,-0.7999374170974486
32,0.0,-0.060681528742277
33,0.0,0.4974139607810724
34,0.0,-0.5189993262259971
35,0.0,0.7424683838646519
36,0.0,-0.4639171905110612
37,0.0,0.8342270200541914
38,0.0,0.5162834566541934
39,0.0,-0.716323479143282
40,0.0,-0.3960815359712446
41,0.0,0.7641218499152067
42,0.0,-0.3686763736371328
43,0.0,0.28214265303736474
44,0.0,-0.5233443721853305
45,0.0,0.2330254443801585
46,0.0,-0.034176221076528485
47,0.0,0.027740663301540344
48,0.0,0.12403626466400676
49,0.0,-0.26389570106975285
50,0.0,5.0072028681694136e-05
51,0.0,-1.026642626277294
52,0.0,0.6692376929401159
53,10.0,2.2150138208333243
54,10.0,4.9457506213736755
55,10.0,8.996235573030791
56,10.0,12.620847262619998
57,10.0,14.177316065467528
58,10.0,14.196732672530407
59,10.0,13.173617158055068
60,10.0,11.486297047594698
61,10.0,10.116587832889916
62,10.0,8.812912577997777
63,10.0,6.8953528593188524
64,10.0,7.360457497001181
65,10.0,7.200486468736744
66,10.0,6.187444458663673
67,10.0,6.70619228197507
68,10.0,7.433696399444883
69,10.0,8.39640262174518
70,10.0,8.600043679432686
71,-3.0,9.423278260499758
72,-3.0,6.785806238058974
73,-3.0,0.9089549025106458
74,-3.0,-3.020184586001372
75,-3.0,-6.992907178753454
76,-3.0,-9.685633276744195
77,-3.0,-12.071223554652688
78,-3.0,-9.862375188225249
79,-3.0,-7.66687324919305
80,-3.0,-6.630742997555892
81,-3.0,-2.847768840805072
82,-3.0,-0.8641005611260965
83,-3.0,1.6528968098219403
84,-3.0,1.8147507651243304
85,-3.0,2.1621711304749165
86,-3.0,1.2663780533354787
87,-3.0,0.8607903566990532
88,-3.0,0.10830291631580465
89,-3.0,-2.484707044107203
90,-3.0,-2.093171466416173
91,-3.0,-2.9320625666584346
92,-3.0,-3.0198285182053968
93,-3.0,-3.444741009744351
94,-3.0,-3.2394009158554145
95,-3.0,-1.7846348433012018
96,-3.0,-3.1049332173034956
97,-3.0,-1.9515853778289105
98,-3.0,-1.9492225773405405
99,-3.0,-2.535061493154688
100,-3.0,-1.6647553561445192
101,-3.0,-1.6961749440535687
102,-3.0,-0.8527083995906569
103,-3.0,-2.3145397345629988
104,-3.0,-1.8462495742190612
105,-3.0,-2.272367179924252
106,-3.0,-2.1505601690036458
107,-3.0,-2.8771832709836413
108,-3.0,-2.2005878367129026
109,-3.0,-2.9284294642836723
110,-3.0,-2.3861174242746688
111,-3.0,-1.6277920601665592
112,-3.0,-2.546960083830888
113,-3.0,-3.671048089949281
114,-3.0,-3.351854171125981
115,-3.0,-2.2723204794780902
116,-3.0,-3.032186599148018
117,-3.0,-2.7366639984308088
118,-3.0,-2.570539967634661
119,-3.0,-3.585818513593209
120,-3.0,-3.0013448075796934
121,-3.0,-2.717712208236436
122,-3.0,-2.388132155711894
123,-3.0,-2.288043102639527
124,-3.0,-2.9032151476452035
125,-3.0,-2.98150236101376
126,-3.0,-2.5810806190075786
127,-3.0,-1.9960171069501835
128,10.0,0.012355803175131517
129,10.0,3.483918339620312
130,10.0,8.149977951660182
131,10.0,11.604765414830387
132,10.0,14.588083808262692
133,10.0,15.4149843361952
134,10.0,13.748316916827948
135,10.0,13.491542372005796
136,10.0,10.570239285136612
137,10.0,9.980885629667492
138,10.0,8.406165069984645
139,10.0,6.7260806459129086
140,10.0,6.142593861224973
141,10.0,5.432253021926956
142,10.0,5.9410561258073695
143,10.0,7.147064746492196
144,10.0,7.209455538773288
145,10.0,7.639910489780981
146,10.0,8.844008953814576
147,0.0,6.314138536013486
148,0.0,2.7933334086539863
149,0.0,-0.5674846962290379
150,0.0,-10.861127951615932
151,0.0,-11.184190068306673
152,0.0,-12.878028191817258
153,0.0,-11.882255222611327
154,0.0,-9.53638001200512
155,0.0,-8.74055313903693
156,0.0,-6.768980729949438
157,0.0,-4.702768019373474
158,0.0,-3.0480239900071444
159,0.0,-3.5076840258207165
160,0.0,-2.5062540336709223
161,0.0,-2.9976844388487165
162,0.0,-3.071783761207108
163,0.0,-3.3300960217656934
164,0.0,-4.7567763529551375
165,0.0,-4.549043439879444
166,0.0,-5.406371261470641
167,0.0,-6.305415192226058
168,0.0,-5.130480490639494
169,0.0,-4.805942093814549
170,0.0,-6.2477420114816145
171,0.0,-5.622115827510225
172,0.0,-6.2854044636784066
173,0.0,-5.683636018258635
174,0.0,-5.857964545727352
175,0.0,-6.256583891594426
176,0.0,-5.606411253554431
177,0.0,-5.622856611632537
178,0.0,-5.259622284590886
179,0.0,-5.505934379775683
180,0.0,-6.014061297376793
181,0.0,-6.254551721969648
182,0.0,-5.9105815913878805
183,0.0,-5.244387959497413
184,0.0,-5.188160929343869
185,-3.0,-5.765371830737795
186,-3.0,-7.281741599662025
187,-3.0,-7.592812518306445
188,-3.0,-9.326838274508196
189,-3.0,-9.194629853400526
190,-3.0,-10.150171446898296
191,-3.0,-4.0065339446327535
192,-3.0,-2.98378101663923
193,-3.0,-3.456237413320335
194,-3.0,-2.7958862386959207
195,-3.0,-1.0426762335702375
196,-3.0,-2.373954572210528
